id;fence_id;name;fencecode;type;created_by;created_time;modified_by;modified_time
1;67358;Money Market Account;next-generation;91425;Handcrafted Concrete Shoes;2020-02-03;Licensed Movies Checking Account;Buckinghamshire encoding Australian Dollar
2;79605;Chicken;Bolivar Fuerte;84409;Car Coordinator wireless;2020-02-02;blue;Response initiative Tools
3;16385;web-enabled;Extensions Bacon;17322;Hat Licensed Granite Fish Soft;2020-02-03;Home;pixel connecting Small
4;67068;Borders;Inlet invoice Borders;35576;Madagascar;2020-02-02;payment Borders Berkshire;Shoes
5;4502;fuchsia yellow;Dalasi;87080;Metal;2020-02-02;global;action-items
6;40707;orchid IB;Lari 24/7;53273;Automotive Games Towels;2020-02-02;Cotton IB Toys;Minnesota Borders
7;12378;Paradigm compressing;Thailand Fantastic;63868;Investment Account;2020-02-03;Phased neural Congo;Buckinghamshire Buckinghamshire
8;8685;global;Ukraine;39607;Monitored;2020-02-03;New Israeli Sheqel 5th generation;Persevering Handmade synthesizing
9;89433;Credit Card Account;Buckinghamshire alarm;40273;synthesizing Human;2020-02-02;Avon;Shoes Mountain
10;34153;Customer-focused Incredible Concrete Chicken Fantastic;Euro Home;86380;fuchsia Bedfordshire Islands;2020-02-03;Future Handcrafted Soft Table;District Avon
