id;start_date;end_date;language
1;2020-02-03T08:51:22;2020-02-03T06:41:37;SPANISH
2;2020-02-02T13:41:33;2020-02-03T08:45:58;SPANISH
3;2020-02-03T04:36:52;2020-02-02T15:11:01;FRENCH
4;2020-02-02T19:54:23;2020-02-03T07:25:49;FRENCH
5;2020-02-03T05:24:41;2020-02-03T10:11:40;FRENCH
6;2020-02-02T23:17:02;2020-02-03T11:25:16;FRENCH
7;2020-02-03T01:02:22;2020-02-02T18:53:13;FRENCH
8;2020-02-02T23:58:35;2020-02-03T10:14:43;SPANISH
9;2020-02-02T22:39:44;2020-02-02T19:21:07;SPANISH
10;2020-02-03T06:51:48;2020-02-02T17:26:18;SPANISH
